Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-10,2024-07-09,Abc Company S.P.A.,"B
Purchase","BICE SRL

AMMINISTRATORE DELEGATO
Director","3,000

3.08


EUR 9,894","3,000",3.08,"EUR 9,240",
2024-07-09,2024-07-08,"Mondo TV SpA
(MTV)","B
Purchase","MATTEO CORRADI

Amministratore Delegato e Presidente del CdA
Director","10,000

0.19


EUR 2,054","10,000",0.19,"EUR 1,918",
2024-07-10,2024-07-05,Gpi,"B
Purchase","FM SPA

FM S.p.A. è una persona strettamente associata in quanto Fausto Manzana è Presidente eAmministratore Delegato di FM S.p.A., nonché soggetto controllante la stessa. Fausto Manzana èaltresì Amministratore Delegato di Gpi S.p.A. FM SPA
Director","1,000

12.42


EUR 13,299","1,000",12.42,"EUR 12,420",
2024-07-08,2024-07-05,"Mondo TV SpA
(MTV)","B
Purchase","MATTEO CORRADI

Amministratore Delegato e Presidente del CdA
Director","10,000

0.20


EUR 2,090","10,000",0.20,"EUR 1,952",
2024-07-08,2024-07-05,"Mondo TV SpA
(MTV)","B
Purchase","GIULIANA BERTOZZI

Socio con partecipazione > 10%
Large shareholder","50,000

0.20


EUR 10,558","50,000",0.20,"EUR 9,860",
2024-07-08,2024-07-05,Mare Engineering Group S.P.A.,"B
Purchase","Marco Bellucci BELLUCCI

Chief Executive Officer
Officer","1,000

3.24


EUR 3,469","1,000",3.24,"EUR 3,240",
2024-07-08,2024-07-05,Cofle S.P.A.,"B
Purchase","ALESSANDRA BARBIERI

VP of Board of Directors,","700

4.92


EUR 3,688",700,4.92,"EUR 3,444",
2024-07-15,2024-07-04,"Fincantieri SpA
(FCT)","S
Sale","LUIGI MATARAZZO

Responsabile Navi Mercantili","10

2.10


EUR 23",10,2.10,EUR 21,
2024-07-08,2024-07-04,"Sicily By Car SpA
(SBC)","B
Purchase","Dragotto Holding S.p.a.

Tommaso Dragotto - Presidente del Cda
Director","6,500

4.88


EUR 33,969","6,500",4.88,"EUR 31,723",
2024-07-08,2024-07-04,"Fincantieri SpA
(FCT)","S
Sale","Felice Bonavolontà

DIRIGENTE PREPOSTO ALLA REDAZIONE DEI DOCUMENTI CONTABILI SOCIETARI
Officer","9

2.10


EUR 20",9,2.10,EUR 19,
2024-07-08,2024-07-04,"BF SpA
(BFG)","B
Purchase","Federico Vecchioni

SOCIETA’ CONTROLLATA DA SOGGETTO RILEVANTE
Through ARUM S.p.A. SPA, a closely affiliated person","33,343

3.90


EUR 139,330","33,343",3.90,"EUR 130,118",
2024-07-08,2024-07-04,"Almawave SpA
(AIW)","B
Purchase","Marco Tripi

Presidente del Consiglio di Amministrazione
Through Almaviva - The Italian Innovation Company SPA, a closely affiliated person
Director","189,681

4.45


EUR 904,776","189,681",4.45,"EUR 844,953",
