Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-02,2024-07-02,"Private Equity Holding AG
(PEHN)","B
Purchase",Executive Director / Officer,"21,000

76.00


CHF 1,775,550","21,000",76.00,"CHF 1,596,000",
2024-07-01,2024-07-01,"Airesis SA
(AIRE)","B
Purchase",Executive Director / Officer,"5,000

0.48


CHF 2,648","5,000",0.48,"CHF 2,380",
2024-07-01,2024-07-01,"PIERER Mobility AG
(PKTM)","B
Purchase",Executive Director / Officer,"10,000

27.90


CHF 310,388","10,000",27.90,"CHF 279,000",
2024-07-01,2024-07-01,"Nebag ag
(NBEN)","B
Purchase",Executive Director / Officer,"986

6.95


CHF 7,628",986,6.95,"CHF 6,857",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Executive Director / Officer,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"750

34.80


CHF 29,036",750,34.80,"CHF 26,100",
2024-07-01,2024-07-01,"Varia US Properties AG
(VARN)","B
Purchase",Non-Executive Director,"1,000

34.80


CHF 38,715","1,000",34.80,"CHF 34,800",
2024-06-28,2024-06-28,"Schweiter Technologies AG
(SWTQ)","B
Purchase",Executive Director / Officer,"150

397.50


CHF 66,333",150,397.50,"CHF 59,625",
2024-06-28,2024-06-28,"Metall Zug AG
(METN)","B
Purchase",Non-Executive Director,"75

1,237.00


CHF 103,212",75,"1,237.00","CHF 92,775",
2024-06-28,2024-06-28,"Wisekey International Holding AG
(WIHN)","B
Purchase",Executive Director / Officer,"4,000

3.98


CHF 17,698","4,000",3.98,"CHF 15,909",
2024-06-28,2024-06-28,"Villars Holding SA
(VILN)","B
Purchase",Executive Director / Officer,"27

605.00


CHF 18,173",27,605.00,"CHF 16,335",
2024-06-28,2024-06-28,"Schindler Holding AG
(SCHP)","S
Sale",Non-Executive Director,"14,674

200.40


CHF 3,271,495","14,674",200.40,"CHF 2,940,670",
2024-06-27,2024-06-27,"Stadler Rail AG
(SRAIL)","S
Sale",Executive Director / Officer,"1,989

25.80


CHF 57,089","1,989",25.80,"CHF 51,316",
2024-06-27,2024-06-27,"Elma Electronic AG
(ELMN)","B
Purchase",Non-Executive Director,"75

1,030.00


CHF 85,941",75,"1,030.00","CHF 77,250",
