Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-18,2024-07-17,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","17,046

4.75


EUR 86,740","17,046",4.75,"EUR 81,005",
2024-07-18,2024-07-17,"Profile Systems and Software SA
(PROF)","S
Sale","STASINOPOULOS CHARALAMPOS

President
Non-Executive Director","300,000

5.38


EUR 1,728,271","300,000",5.38,"EUR 1,614,000",
2024-07-18,2024-07-17,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","85,828

2.09


EUR 192,324","85,828",2.09,"EUR 179,608",
2024-07-18,2024-07-17,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","21,592

2.10


EUR 48,531","21,592",2.10,"EUR 45,322",
2024-07-18,2024-07-17,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","85,828

2.09


EUR 192,253","85,828",2.09,"EUR 179,541",
2024-07-18,2024-07-16,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","S
Sale","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,443

4.81


EUR 7,434","1,443",4.81,"EUR 6,943",
2024-07-18,2024-07-16,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","3,113

4.81


EUR 16,020","3,113",4.81,"EUR 14,961",
2024-07-18,2024-07-16,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","6,853

2.12


EUR 15,586","6,853",2.12,"EUR 14,556",
2024-07-18,2024-07-16,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","51,408

2.12


EUR 116,933","51,408",2.12,"EUR 109,202",
2024-07-17,2024-07-16,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","51,408

2.13


EUR 117,026","51,408",2.13,"EUR 109,289",
2024-07-17,2024-07-16,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","6,853

2.12


EUR 15,586","6,853",2.12,"EUR 14,556",
2024-07-22,2024-07-15,LOULIS FOOD INGREDIENTS S.A.,"B
Purchase","KASOTAKIS DIONYSIOS

Other Manager
Officer","100

0.03


EUR 3",100,0.03,EUR 3,
2024-07-18,2024-07-15,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","S
Sale","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","786

4.86


EUR 4,094",786,4.86,"EUR 3,824",
2024-07-18,2024-07-15,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","2,623

4.87


EUR 13,679","2,623",4.87,"EUR 12,775",
2024-07-18,2024-07-15,"Profile Systems and Software SA
(PROF)","S
Sale","STASINOPOULOS CHARALAMPOS

President
Non-Executive Director","130,000

5.05


EUR 702,980","130,000",5.05,"EUR 656,500",
2024-07-18,2024-07-15,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","41,878

2.11


EUR 94,774","41,878",2.11,"EUR 88,507",
2024-07-18,2024-07-15,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","59,757

2.11


EUR 135,021","59,757",2.11,"EUR 126,093",
2024-07-17,2024-07-15,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","31,374

2.11


EUR 70,960","31,374",2.11,"EUR 66,268",
2024-07-17,2024-07-15,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","41,878

2.11


EUR 94,717","41,878",2.11,"EUR 88,455",
2024-07-16,2024-07-15,"Lamda Development SA
(LAMDA)","S
Sale","KARASTOGIANNIS DIMITRIOS

Other Manager
Officer","4,777

7.50


EUR 38,364","4,777",7.50,"EUR 35,828",
2024-07-16,2024-07-15,LOULIS FOOD INGREDIENTS S.A.,"B
Purchase","KASOTAKIS DIONYSIOS

Other Manager
Officer","100

2.65


EUR 284",100,2.65,EUR 265,
2024-07-22,2024-07-12,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","78,450

2.07


EUR 173,896","78,450",2.07,"EUR 162,398",
2024-07-18,2024-07-12,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","78,450

2.07


EUR 174,286","78,450",2.07,"EUR 162,762",
2024-07-17,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","PAPACHRISTOPOULOU AIKATERINI

Executive Member
Through a closely affiliated person
Executive Director","2,730

8.00


EUR 23,386","2,730",8.00,"EUR 21,840",
2024-07-17,2024-07-12,"Eurobank Ergasias Services and Holdings SA
(EUROB)","S
Sale","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","250

2.06


EUR 553",250,2.06,EUR 516,
2024-07-17,2024-07-12,"Eurobank Ergasias Services and Holdings SA
(EUROB)","B
Purchase","BASILEIOU KONSTANTINOS

Executive Member
Through a closely affiliated person
Executive Director","81,055

2.07


EUR 179,846","81,055",2.07,"EUR 167,955",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","PAPACHRISTOPOULOU AIKATERINI

Executive Member
Through a closely affiliated person
Executive Director","4,080

8.00


EUR 34,951","4,080",8.00,"EUR 32,640",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","PAPACHRISTOPOULOU AIKATERINI

Executive Member
Through a closely affiliated person
Executive Director","8,160

8.00


EUR 69,902","8,160",8.00,"EUR 65,280",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","PAPACHRISTOPOULOU AIKATERINI

Executive Member
Executive Director","642,351

8.00


EUR 5,502,636","642,351",8.00,"EUR 5,138,808",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","NIKOLOPOULOS PANTELIS

President
Through a closely affiliated person
Non-Executive Director","111,966

8.00


EUR 959,146","111,966",8.00,"EUR 895,728",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","KOTZAMANIDIS ANTONIOS

CEO
Through a closely affiliated person
Executive Director","135,000

8.00


EUR 1,156,464","135,000",8.00,"EUR 1,080,000",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","MENEGOS STAVROS

Executive Member
Through a closely affiliated person
Executive Director","4,000

8.00


EUR 34,266","4,000",8.00,"EUR 32,000",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","MENEGOS STAVROS

Executive Member
Executive Director","1,721,008

8.00


EUR 14,742,843","1,721,008",8.00,"EUR 13,768,064",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","DIMITRAKOPOULOS KONSTANTINOS

Vice President
Non-Executive Director","189,600

8.00


EUR 1,624,189","189,600",8.00,"EUR 1,516,800",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","ABRATOGLOU CHARALAMPOS

Executive Member
Executive Director","1,600,000

8.00


EUR 13,706,240","1,600,000",8.00,"EUR 12,800,000",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","NIKOLOPOULOS PANTELIS

President
Non-Executive Director","4,568,946

8.00


EUR 39,139,419","4,568,946",8.00,"EUR 36,551,568",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","KOTZAMANIDIS ANTONIOS

CEO
Through a closely affiliated person
Executive Director","139,620

8.00


EUR 1,196,041","139,620",8.00,"EUR 1,116,960",
2024-07-16,2024-07-12,"EnterSoft SA
(ENTER)","S
Sale","KOTZAMANIDIS ANTONIOS

CEO
Executive Director","2,158,133

8.00


EUR 18,487,431","2,158,133",8.00,"EUR 17,265,064",
