Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-23,2024-07-22,"Bankinter SA
(BKT)","B
Purchase","ALFONSO SAEZ ALONSO MUÑUMER

DIRECTOR DE CONSUMO E IRLANDA - MIEMBRO DEL COMITÉ DE DIRECCIÓN
Officer","120

8.29


EUR 1,065",120,8.29,EUR 995,
2024-07-23,2024-07-22,"Bankinter SA
(BKT)","B
Purchase","FRANCISCO MARTINEZ GARCIA

DIRECTOR DE AUDITORÍA INTERNA
Officer","120

8.29


EUR 1,065",120,8.29,EUR 995,
2024-07-23,2024-07-22,"Bankinter SA
(BKT)","B
Purchase","JACOBO DÍAZ GARCÍA

DIRECTOR FINANCIERO Y BANCA DIGITAL - MIEMBRO DEL COMITÉ DE DIRECCIÓN
Officer","144

8.29


EUR 1,278",144,8.29,"EUR 1,194",
2024-07-23,2024-07-22,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,750

50.01


EUR 93,714","1,750",50.01,"EUR 87,518",
2024-07-23,2024-07-19,"Bankinter SA
(BKT)","S
Sale","IÑIGO GUERRA AZCONA

DIRECTOR GENERAL
Officer","18,194

8.25


EUR 160,728","18,194",8.25,"EUR 150,101",
2024-07-23,2024-07-19,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","799

49.55


EUR 42,393",799,49.55,"EUR 39,590",
2024-07-23,2024-07-18,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,350

49.73


EUR 71,889","1,350",49.73,"EUR 67,136",
2024-07-22,2024-07-18,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","2,500

1.40


EUR 3,748","2,500",1.40,"EUR 3,500",
2024-07-18,2024-07-17,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,400

49.35


EUR 73,982","1,400",49.35,"EUR 69,090",
2024-07-18,2024-07-16,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,200

49.65


EUR 63,798","1,200",49.65,"EUR 59,580",
2024-07-24,2024-07-15,"Lingotes Especiales SA
(LGT)","B
Purchase","CONSEJERO DOMINICAL (JOSÉ M. ISIDRO)

Through CORPORACION OUDALOI SL, a closely affiliated person
Director","3,126

8.27


EUR 27,682","3,126",8.27,"EUR 25,852",
2024-07-22,2024-07-15,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","2,500

1.40


EUR 3,748","2,500",1.40,"EUR 3,500",
2024-07-18,2024-07-15,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","700

50.08


EUR 37,538",700,50.08,"EUR 35,056",
2024-07-17,2024-07-15,"Fluidra SA
(FDR)","B
Purchase","SANDRA SOFIA TAVARES DA SILVA

GLOBAL HR DIRECTOR
Officer","29

22.22


EUR 690",29,22.22,EUR 644,
2024-07-17,2024-07-15,"Fluidra SA
(FDR)","B
Purchase","JAVIER TINTORÉ SEGURA

CHIEF FINANCIAL, SUSTAINABILITY & TRANSFORMATION OFFICER (CFSTO)","102

22.22


EUR 2,427",102,22.22,"EUR 2,266",
2024-07-17,2024-07-15,"Fluidra SA
(FDR)","B
Purchase","NICOLÁS MARTÍNEZ FERNÁNDEZ

GLOBAL DIRECTOR OF INTERNAL AUDIT AND COMPLIANCE
Officer","114

22.22


EUR 2,712",114,22.22,"EUR 2,533",
2024-07-17,2024-07-15,"Fluidra SA
(FDR)","B
Purchase","CLARA VALERA JAQUES

STRATEGY, INVESTOR RELATIONS AND M&A SENIOR DIRECTOR
Officer","12

22.22


EUR 286",12,22.22,EUR 267,
2024-07-24,2024-07-12,"Lingotes Especiales SA
(LGT)","B
Purchase","CONSEJERO DOMINICAL (JOSÉ M. ISIDRO)

Through CORPORACION OUDALOI SL, a closely affiliated person
Director","3,830

8.45


EUR 34,655","3,830",8.45,"EUR 32,364",
2024-07-15,2024-07-12,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,500

50.22


EUR 80,663","1,500",50.22,"EUR 75,330",
2024-07-17,2024-07-11,"Desarrollos Especiales de Sistemas de Anclajes SA
(DESA)","B
Purchase","José María Vidal Vía

Consejero Delegado
Executive Director","20

13.50


EUR 289",20,13.50,EUR 270,
2024-07-16,2024-07-11,"Aedas Homes SA
(AEDAS)","S
Sale","Alberto Delgado Montero

Director General de Negocio
Officer","5,000

23.00


EUR 123,142","5,000",23.00,"EUR 115,000",
2024-07-15,2024-07-11,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,801

50.38


EUR 97,158","1,801",50.38,"EUR 90,734",
2024-07-12,2024-07-11,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","5,000

1.40


EUR 7,496","5,000",1.40,"EUR 7,000",
2024-07-15,2024-07-10,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","1,022

50.71


EUR 55,495","1,022",50.71,"EUR 51,826",
2024-07-12,2024-07-10,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","5,000

1.40


EUR 7,496","5,000",1.40,"EUR 7,000",
2024-07-10,2024-07-09,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","2,199

50.92


EUR 119,901","2,199",50.92,"EUR 111,973",
2024-07-10,2024-07-09,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","1,907

1.40


EUR 2,859","1,907",1.40,"EUR 2,670",
2024-07-11,2024-07-08,"Amrest Holdings SE
(EAT)","S
Sale","Robert Zuk

Chief Information Ofﬁcer","10,239

23.58


PLN 60,069","10,239",23.58,"PLN 241,436",
2024-07-10,2024-07-08,"Amrest Holdings SE
(EAT)","S
Sale","Robert Zuk

Chief Information Ofﬁcer","10,239

23.58


PLN 60,069","10,239",23.58,"PLN 241,436",
2024-07-10,2024-07-08,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","8,024

51.06


EUR 438,713","8,024",51.06,"EUR 409,705",
2024-07-10,2024-07-08,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","11,795

1.40


EUR 17,682","11,795",1.40,"EUR 16,513",
2024-07-10,2024-07-08,"Montebalito SA
(MTB)","B
Purchase","METAMBIENTE, S.A.

PRESIDENTE
Director","1,298

1.39


EUR 1,932","1,298",1.39,"EUR 1,804",
2024-07-09,2024-07-08,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","JORGE MERCADER MIRÓ

D. Jorge Mercader Miró es Consejero del Emisor
Director","119

13.00


EUR 1,657",119,13.00,"EUR 1,547",
2024-07-09,2024-07-08,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","D. Jorge Mercader Miró y D. Jorge Mercader Barata son Consejeros del Emisor

Through HACIA S.A., a closely affiliated person
Director","1,500

13.00


EUR 20,881","1,500",13.00,"EUR 19,500",
2024-07-11,2024-07-05,"Amrest Holdings SE
(EAT)","S
Sale","Robert Zuk

Chief Information Ofﬁcer","1,761

24.75


PLN 10,844","1,761",24.75,"PLN 43,585",
2024-07-10,2024-07-05,"Amrest Holdings SE
(EAT)","S
Sale","Robert Zuk

Chief Information Ofﬁcer","1,761

24.75


PLN 10,844","1,761",24.75,"PLN 43,585",
2024-07-10,2024-07-05,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","8,500

51.04


EUR 464,556","8,500",51.04,"EUR 433,840",
2024-07-05,2024-07-04,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","5,701

51.01


EUR 311,397","5,701",51.01,"EUR 290,808",
2024-07-05,2024-07-03,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","5,517

51.00


EUR 301,288","5,517",51.00,"EUR 281,367",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","RAFAEL NAVAS LANCHAS

Consejero
Director","204

10.60


EUR 2,315",204,10.60,"EUR 2,162",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","JUAN CARLOS URETA ESTADES

Consejero
Director","204

10.60


EUR 2,315",204,10.60,"EUR 2,162",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","Gemma Aznar Cornejo

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","Pilar García Ceballos- Zuñiga

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","MARIA DEL PINO VELAZQUEZ MEDINA

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","EDUARDO CHACÓN LÓPEZ

Consejero
Director","204

10.60


EUR 2,315",204,10.60,"EUR 2,162",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","INES JUSTE BELLOSILLO

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","Jose Ramón Rubio Laporta

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-03,2024-07-03,"Renta 4 Banco SA
(R4)","B
Purchase","Pedro Angel Navarro Martínez

Consejero
Director","255

10.60


EUR 2,894",255,10.60,"EUR 2,703",
2024-07-05,2024-07-02,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","5,050

51.07


EUR 276,163","5,050",51.07,"EUR 257,904",
2024-07-05,2024-07-02,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","D. José Miquel Vacarisas es Consejero del Emisor

Through AGRICOLA DEL SUDESTE ALMERIENSE S.A., a closely affiliated person
Director","1,000

13.00


EUR 13,920","1,000",13.00,"EUR 13,000",
2024-07-04,2024-07-01,"Telefonica SA
(TEF)","B
Purchase","LAURA ABASOLO GARCÍA DE BAQUEDANO

DIRECTORA GENERAL DE FINANZAS Y CONTROL
Officer","11,859

4.00


EUR 50,794","11,859",4.00,"EUR 47,436",
2024-07-04,2024-07-01,"Telefonica SA
(TEF)","B
Purchase","MARK EVANS

DIRECTOR GENERAL DE ESTRATEGIA Y DESARROLLO
Officer","16,794

4.00


EUR 71,932","16,794",4.00,"EUR 67,176",
2024-07-04,2024-07-01,"Telefonica SA
(TEF)","B
Purchase","PABLO ANTONIO DE CARVAJAL GONZÁLEZ

SECRETARIO GENERAL Y DEL CONSEJO Y DIRECTOR GLOBAL DE REGULACIÓN
Officer","69

4.00


EUR 296",69,4.00,EUR 276,
2024-07-04,2024-07-01,"Telefonica SA
(TEF)","B
Purchase","JOSÉ MARÍA ÁLVAREZ-PALLETE LÓPEZ

PRESIDENTE EJECUTIVO
Executive Director","33

4.00


EUR 141",33,4.00,EUR 132,
2024-07-02,2024-07-01,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","3,770

51.10


EUR 206,286","3,770",51.10,"EUR 192,647",
2024-07-02,2024-07-01,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","JORGE MERCADER MIRÓ

D. Jorge Mercader Miró es Consejero del Emisor
Director","381

12.80


EUR 5,222",381,12.80,"EUR 4,877",
2024-07-02,2024-07-01,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","D. Jorge Mercader Miró y D. Jorge Mercader Barata son Consejeros del Emisor

Through HACIA S.A., a closely affiliated person
Director","2,087

12.91


EUR 28,851","2,087",12.91,"EUR 26,943",
2024-07-02,2024-06-28,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","IGNASI NIETO MAGALDI

D. Ignasi Nieto Magaldi es Director General del Grupo MCM
Officer","10,034

13.50


EUR 145,049","10,034",13.50,"EUR 135,459",
2024-07-02,2024-06-28,"Corporacion Financiera Alba SA
(ALB)","B
Purchase","CARLOS MARCH DELGADO

PRESIDENTE
Director","6,750

50.93


EUR 368,117","6,750",50.93,"EUR 343,778",
2024-07-02,2024-06-28,"Miquel y Costas & Miquel SA
(MCM)","B
Purchase","D. Jorge Mercader Miró y D. Jorge Mercader Barata son Consejeros del Emisor

Through HACIA S.A., a closely affiliated person
Director","267

13.00


EUR 3,717",267,13.00,"EUR 3,471",
2024-07-01,2024-06-28,"Ebro Foods SA
(EBRO)","B
Purchase","Hercalianz Investing Group, SL

Consejero
Director","63,430

15.52


EUR 1,054,131","63,430",15.52,"EUR 984,434",
2024-07-01,2024-06-28,"Inmobiliaria del Sur SA
(ISUR)","B
Purchase","CANDELAS ARRANZ PUMAR

CONSEJERA
Director","44

8.40


EUR 396",44,8.40,EUR 370,
