Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-10,2024-07-09,"FCR Immobilien AG
(FC9)","B
Purchase","Through RAT Asset & Trading GmbH, a person closely affiliated to an insider","1,200

8.90


EUR 11,436","1,200",8.90,"EUR 10,680",
2024-07-10,2024-07-09,"7C Solarparken AG
(HRPK)","B
Purchase","Boriau, Koen

Management Board Member","15,000

2.47


EUR 39,673","15,000",2.47,"EUR 37,050",
2024-07-10,2024-07-08,"MTU Aero Engines AG
(MTX)","B
Purchase","Haltrich, Dr.-Ing. Marc

Supervisory Board Member","82

253.35


EUR 22,245",82,253.35,"EUR 20,775",
2024-07-10,2024-07-08,"Netfonds AG
(NF4)","B
Purchase","Through PR Capital Vermögensverwaltung U.G., a person closely affiliated to an insider","450

45.66


EUR 22,003",450,45.66,"EUR 20,548",
2024-07-10,2024-07-08,"Aixtron SE
(AIXA)","B
Purchase","Schindelhauer, Kim

Supervisory Board Member","10,002

21.75


EUR 232,938","10,002",21.75,"EUR 217,536",
2024-07-10,2024-07-08,"7C Solarparken AG
(HRPK)","B
Purchase","Boriau, Koen

Management Board Member","15,024

2.48


EUR 39,897","15,024",2.48,"EUR 37,259",
2024-07-10,2024-07-05,learnd SE,"B
Purchase","Spang, Stefan

Supervisory Board Member","125,000

4.00


EUR 535,400","125,000",4.00,"EUR 500,000",
2024-07-08,2024-07-05,"DEUTZ AG
(DEZ)","B
Purchase","Müller, Dr.-Ing. Markus

Management Board Member","19,998

5.77


EUR 123,561","19,998",5.77,"EUR 115,391",
2024-07-05,2024-07-04,"R Stahl AG
(RSL2)","B
Purchase","Hallmann, Dr. Mathias

Management Board Member","2,500

19.56


EUR 52,371","2,500",19.56,"EUR 48,908",
2024-07-05,2024-07-03,"AdCapital AG
(ADC)","B
Purchase","Schmid, Dr. Andreas

Management Board Member","1,700

2.50


EUR 4,551","1,700",2.50,"EUR 4,250",
2024-07-05,2024-07-02,"AdCapital AG
(ADC)","B
Purchase","Schmid, Dr. Andreas

Management Board Member","900

2.40


EUR 2,313",900,2.40,"EUR 2,160",
2024-07-05,2024-07-02,"Lehner Investments AG
(LEH)","S
Sale","Through RIMIVY LTD, a person closely affiliated to an insider","6,716,667

0.09


EUR 647,299","6,716,667",0.09,"EUR 604,500",
2024-07-04,2024-07-02,"Vonovia SE
(VNA)","B
Purchase","Werhahn, Ruth

Management Board Member","6,430

26.25


EUR 180,725","6,430",26.25,"EUR 168,776",
2024-07-03,2024-07-02,"E.ON SE
(EOAN)","B
Purchase","Jakobi, Nadia

Management Board Member","41,167

12.15


EUR 535,591","41,167",12.15,"EUR 500,179",
2024-07-02,2024-07-02,"Einhell Germany AG
(EIN3)","B
Purchase","Schwaiger, Prof. Dr. Manfred

Supervisory Board Member","100

179.00


EUR 19,167",100,179.00,"EUR 17,900",
2024-07-04,2024-07-01,learnd SE,"B
Purchase","Brunner, Josef

Supervisory Board Member","20

8.80


EUR 188",20,8.80,EUR 176,
2024-07-02,2024-07-01,"Mutares SE & Co KgaA
(MUX)","B
Purchase","Laumann, Johannes

Management Board Member","4,000

34.87


EUR 149,361","4,000",34.87,"EUR 139,486",
2024-07-02,2024-06-28,"Neon Equity AG
(D77)","B
Purchase","Through Neon Equity Invest GmbH, a person closely affiliated to an insider","249

2.00


EUR 534",249,2.00,EUR 499,
2024-07-02,2024-06-28,"Deutsche Beteiligungs AG
(DBAN)","B
Purchase","Wiese, Melanie

Management Board Member","555

25.20


EUR 14,976",555,25.20,"EUR 13,986",
2024-07-01,2024-06-28,"Viromed Medical AG
(Q11)","B
Purchase","Perbandt, Uwe

Management Board Member","150

1.72


EUR 276",150,1.72,EUR 258,
2024-07-01,2024-06-28,"Viromed Medical AG
(Q11)","B
Purchase","Perbandt, Uwe

Management Board Member","1,303

1.98


EUR 2,763","1,303",1.98,"EUR 2,580",
2024-07-01,2024-06-28,"Duerr AG
(DUE)","B
Purchase","Heinrich, Dietmar

Management Board Member","2,500

20.10


EUR 53,808","2,500",20.10,"EUR 50,250",
2024-06-28,2024-06-28,ABO Kraft & Wärme AG,"B
Purchase","Bockholt, Matthias

Management Board Member","346,154

1.30


EUR 480,600","346,154",1.30,"EUR 450,000",
2024-06-28,2024-06-28,ABO Kraft & Wärme AG,"B
Purchase","Ahn, Dr. Jochen

Management Board Member","346,154

1.30


EUR 480,600","346,154",1.30,"EUR 450,000",
2024-07-02,2024-06-27,"Neon Equity AG
(D77)","B
Purchase","Through Neon Equity Invest GmbH, a person closely affiliated to an insider","280

2.20


EUR 658",280,2.20,EUR 616,
2024-07-02,2024-06-27,"AdCapital AG
(ADC)","B
Purchase","Through Accorus UG (haftungsbeschränkt), a person closely affiliated to an insider","1,200

2.56


EUR 3,281","1,200",2.56,"EUR 3,072",
2024-07-01,2024-06-27,"Viromed Medical AG
(Q11)","B
Purchase","Perbandt, Uwe

Management Board Member","5,237

1.92


EUR 10,739","5,237",1.92,"EUR 10,055",
2024-06-28,2024-06-27,"Siemens AG
(SIE)","S
Sale","Bäumler, Tobias

Supervisory Board Member","250

169.06


EUR 45,139",250,169.06,"EUR 42,265",
2024-07-01,2024-06-26,"Viromed Medical AG
(Q11)","B
Purchase","Perbandt, Uwe

Management Board Member","3,941

1.92


EUR 8,104","3,941",1.92,"EUR 7,567",
2024-07-01,2024-06-26,"Douglas AG
(DOU)","B
Purchase","Through Lobelia Lux S.à r.l., a person closely affiliated to an insider","5,099

17.26


EUR 94,249","5,099",17.26,"EUR 88,001",
2024-06-28,2024-06-26,"Neon Equity AG
(D77)","B
Purchase","Through Neon Equity Invest GmbH, a person closely affiliated to an insider","280

2.04


EUR 612",280,2.04,EUR 571,
2024-06-27,2024-06-26,"SMA Solar Technology AG
(S92)","B
Purchase","Reinert, Dr. Jürgen

Management Board Member","3,000

26.34


EUR 84,629","3,000",26.34,"EUR 79,019",
2024-07-02,2024-06-25,"Mutares SE & Co KgaA
(MUX)","B
Purchase","Friedrich, Mark

Management Board Member","4,500

32.39


EUR 156,442","4,500",32.39,"EUR 145,758",
2024-06-28,2024-06-25,"Neon Equity AG
(D77)","B
Purchase","Through Neon Equity Invest GmbH, a person closely affiliated to an insider","300

2.04


EUR 657",300,2.04,EUR 612,
